author,category,datePublished,description,images,numberOfPages,price,sub_category,title
Phương Phương,Sách Thiếu Nhi,01/09/2018,"Thông tin tác giả    Mariko Shimizu     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sách dựa trên chương trình giảng dạy tiếng Anh quốc tế nổi tiếng tại Nhật.Tập trung vào việc phát triển khả năng phản xạ thông qua các hoạt động thường ngày.Ba mẹ có thể dễ dàng dạy con học tiếng Anh mà không cần đến trung tâm ngoại ngữ.Thông qua hoạt động dạy tiếng Anh từ những hoạt động thường ngày, ba mẹ có nhiều cơ hội tiếp xúc với con hơn, hiểu tâm tư tình cảm và khả năng tiếp thu của con hơn là phó thác cho các trung tâm ngoại ngữ.Mời bạn đón đọc.",full/a8e9445af16eb985d9d722e8698ba3bb3a75d9cb.jpg,156.0,110.000,Sách ngoại ngữ,Vui Học Tiếng Anh Cùng Trẻ - Tập 1
Nguyễn Kim Dân,Sách Thường Thức – Đời Sống,01/07/2011,"Thông tin tác giả    Jim Canterucci     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Những công cụ cần thiết để thành công không ở đâu xa, chúng nằm ngay trong tay bạn. Chỉ cần bạn sống đúng với những năng lực của mình, phát huy sức mạnh của nhận thức, của tính hiếu kỳ, của sự tập trung và sáng tạo, mọi con đường sẽ mở rộng trước mắt bạn.    Bí quyết của thành công là khả năng thắp sáng các phẩm chất cá nhân, trong từng hành vi, từng thời khắc của cuộc sống hàng ngày. Cuốn sách ""Tỏa sáng và thành công"" của Jim Canterucci sẽ giúp bạn khai phá tiến trình này, vấn đề còn lại chỉ là quyết tâm của bạn. Mời bạn đón đọc.",full/276765a859ca5d99d3d1abfa8cf31fb710275f1c.jpg,240.0,46.000,Sách Tâm lý - Giới tính,Tỏa Sáng & Thành Công
Nguyễn Thị Thu,Sách Thiếu Nhi,31/10/2019,"Thông tin tác giả    Kazuhiko Toyota     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là một loại sách tranh có nguồn gốc từ Nhật Bản, Ehon được ví như thực phẩm nuôi dưỡng tâm hồn dành cho trẻ nhỏ, phù hợp với các bé có độ tuổi từ 0 đến 10.Mỗi ngày, các cha mẹ Nhật đều đọc Ehon cho con nghe. Đó vừa là cách họ thể hiện tình yêu thương, vừa là cách họ bồi đắp tâm hồn cho con, giúp con rèn luyện thói quen đọc sách, phát triển ngôn ngữ, khả năng tư duy và trí tưởng tượng phong phú. Ehon có mặt trong tủ sách của mọi gia đình và ở thư viện trên khắp nước Nhật, là người bạn đồng hành với trẻ trong suốt những năm tháng ấu thơ.Thời kì ấu thơ là thời kì quan trọng nuôi dưỡng trí tuệ và cảm xúc. Giọng nói của cha mẹ, cách trò chuyện của cha mẹ sẽ được trẻ lưu nhớ dần dần vào trong não, khi đã lí giải đầy đủ rồi trẻ sẽ biểu hiện nó ra ngoài. Chính vì thế càng nghe được tiếng của cha mẹ nhiều thì ấn tượng trong não trẻ càng lớn, sợi dây liên hết càng bền chặt.Tại sao Ehon lại hấp dẫn các bạn nhỏ? Bởi trong các cuốn Ehon, ngôn ngữ được chắt lọc kỹ lưỡng, những từ tượng hình, tượng thanh được lặp lại nhiều lần, kết hợp với biểu cảm của cha mẹ khi đọc tạo nên nhạc điệu trong ngôn ngữ khiến các bé vô cùng thích thú!Tháng 11/2015, những cuốn sách Ehon đầu tiên đã được ThaiHaBooks phát hành, trong đó nổi bật nhất là bộ sách “Chơi cùng Momo” với 10 cuốn của tác giả Kazuhiko Toyota. Trải qua 4 năm, bộ sách đã nhận được sự yêu mến của đông đảo cha mẹ Việt Nam và trở thành người bạn thân thiết của biết bao trẻ nhỏ.Cũng bởi sự thành công của 10 cuốn sách trước đó, đúng 4 năm sau, ThaiHaBooks chính thức phát hành 9 cuốn còn lại với hi vọng tiếp tục được đồng hành với các bậc cha mẹ Việt Nam trong việc nuôi dưỡng tâm hồn cho các em nhỏ, để người bạn Momo sẽ giúp những năm tháng tuổi thơ của các em thêm đẹp đẽ, ý nghĩa và đáng nhớ hơn.Bộ 9 cuốn bao gồm những tựa đề rất ngộ nghĩnh và đáng yêu, bên trong là những câu chuyện màu sắc và thú vị chắc chắn sẽ khiến các bạn nhỏ cảm thấy vô cùng thích thú: Áp má nào!; A a – há miệng nào!; Chơi cùng xích đu!; Cù léc cù léc!; Giống nhau quá, giống nhau quá!; Đợi chút đợi chút!; Thật là khoan khoái!; Xình xịch, xình xịch!; Xoa nào xoa nào!.Mời bạn đón đọc.",full/82a205716e1541cd7fd0143ca1426a76d8591ea6.jpg,28.0,43.000,Truyện tranh,Chơi Cùng Momo - Chú Bé Quả Đào: Giống Nhau Quá Giống Nhau Quá!
Nguyễn Thị Thu,Sách Thiếu Nhi,31/10/2019,"Thông tin tác giả    Kazuhiko Toyota     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là một loại sách tranh có nguồn gốc từ Nhật Bản, Ehon được ví như thực phẩm nuôi dưỡng tâm hồn dành cho trẻ nhỏ, phù hợp với các bé có độ tuổi từ 0 đến 10.Mỗi ngày, các cha mẹ Nhật đều đọc Ehon cho con nghe. Đó vừa là cách họ thể hiện tình yêu thương, vừa là cách họ bồi đắp tâm hồn cho con, giúp con rèn luyện thói quen đọc sách, phát triển ngôn ngữ, khả năng tư duy và trí tưởng tượng phong phú. Ehon có mặt trong tủ sách của mọi gia đình và ở thư viện trên khắp nước Nhật, là người bạn đồng hành với trẻ trong suốt những năm tháng ấu thơ.Thời kì ấu thơ là thời kì quan trọng nuôi dưỡng trí tuệ và cảm xúc. Giọng nói của cha mẹ, cách trò chuyện của cha mẹ sẽ được trẻ lưu nhớ dần dần vào trong não, khi đã lí giải đầy đủ rồi trẻ sẽ biểu hiện nó ra ngoài. Chính vì thế càng nghe được tiếng của cha mẹ nhiều thì ấn tượng trong não trẻ càng lớn, sợi dây liên hết càng bền chặt.Tại sao Ehon lại hấp dẫn các bạn nhỏ? Bởi trong các cuốn Ehon, ngôn ngữ được chắt lọc kỹ lưỡng, những từ tượng hình, tượng thanh được lặp lại nhiều lần, kết hợp với biểu cảm của cha mẹ khi đọc tạo nên nhạc điệu trong ngôn ngữ khiến các bé vô cùng thích thú!Tháng 11/2015, những cuốn sách Ehon đầu tiên đã được ThaiHaBooks phát hành, trong đó nổi bật nhất là bộ sách “Chơi cùng Momo” với 10 cuốn của tác giả Kazuhiko Toyota. Trải qua 4 năm, bộ sách đã nhận được sự yêu mến của đông đảo cha mẹ Việt Nam và trở thành người bạn thân thiết của biết bao trẻ nhỏ.Cũng bởi sự thành công của 10 cuốn sách trước đó, đúng 4 năm sau, ThaiHaBooks chính thức phát hành 9 cuốn còn lại với hi vọng tiếp tục được đồng hành với các bậc cha mẹ Việt Nam trong việc nuôi dưỡng tâm hồn cho các em nhỏ, để người bạn Momo sẽ giúp những năm tháng tuổi thơ của các em thêm đẹp đẽ, ý nghĩa và đáng nhớ hơn.Bộ 9 cuốn bao gồm những tựa đề rất ngộ nghĩnh và đáng yêu, bên trong là những câu chuyện màu sắc và thú vị chắc chắn sẽ khiến các bạn nhỏ cảm thấy vô cùng thích thú: Áp má nào!; A a – há miệng nào!; Chơi cùng xích đu!; Cù léc cù léc!; Giống nhau quá, giống nhau quá!; Đợi chút đợi chút!; Thật là khoan khoái!; Xình xịch, xình xịch!; Xoa nào xoa nào!.Mời bạn đón đọc.",full/7d7743b21abf4b5081ac96eb1fef91ace517ba57.jpg,28.0,43.000,Truyện tranh,Chơi Cùng Momo - Chú Bé Quả Đào: Áp Má Nào!
Nguyễn Thị Thu,Sách Thiếu Nhi,31/10/2019,"Thông tin tác giả    Kazuhiko Toyota     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là một loại sách tranh có nguồn gốc từ Nhật Bản, Ehon được ví như thực phẩm nuôi dưỡng tâm hồn dành cho trẻ nhỏ, phù hợp với các bé có độ tuổi từ 0 đến 10.Mỗi ngày, các cha mẹ Nhật đều đọc Ehon cho con nghe. Đó vừa là cách họ thể hiện tình yêu thương, vừa là cách họ bồi đắp tâm hồn cho con, giúp con rèn luyện thói quen đọc sách, phát triển ngôn ngữ, khả năng tư duy và trí tưởng tượng phong phú. Ehon có mặt trong tủ sách của mọi gia đình và ở thư viện trên khắp nước Nhật, là người bạn đồng hành với trẻ trong suốt những năm tháng ấu thơ.Thời kì ấu thơ là thời kì quan trọng nuôi dưỡng trí tuệ và cảm xúc. Giọng nói của cha mẹ, cách trò chuyện của cha mẹ sẽ được trẻ lưu nhớ dần dần vào trong não, khi đã lí giải đầy đủ rồi trẻ sẽ biểu hiện nó ra ngoài. Chính vì thế càng nghe được tiếng của cha mẹ nhiều thì ấn tượng trong não trẻ càng lớn, sợi dây liên hết càng bền chặt.Tại sao Ehon lại hấp dẫn các bạn nhỏ? Bởi trong các cuốn Ehon, ngôn ngữ được chắt lọc kỹ lưỡng, những từ tượng hình, tượng thanh được lặp lại nhiều lần, kết hợp với biểu cảm của cha mẹ khi đọc tạo nên nhạc điệu trong ngôn ngữ khiến các bé vô cùng thích thú!Tháng 11/2015, những cuốn sách Ehon đầu tiên đã được ThaiHaBooks phát hành, trong đó nổi bật nhất là bộ sách “Chơi cùng Momo” với 10 cuốn của tác giả Kazuhiko Toyota. Trải qua 4 năm, bộ sách đã nhận được sự yêu mến của đông đảo cha mẹ Việt Nam và trở thành người bạn thân thiết của biết bao trẻ nhỏ.Cũng bởi sự thành công của 10 cuốn sách trước đó, đúng 4 năm sau, ThaiHaBooks chính thức phát hành 9 cuốn còn lại với hi vọng tiếp tục được đồng hành với các bậc cha mẹ Việt Nam trong việc nuôi dưỡng tâm hồn cho các em nhỏ, để người bạn Momo sẽ giúp những năm tháng tuổi thơ của các em thêm đẹp đẽ, ý nghĩa và đáng nhớ hơn.Bộ 9 cuốn bao gồm những tựa đề rất ngộ nghĩnh và đáng yêu, bên trong là những câu chuyện màu sắc và thú vị chắc chắn sẽ khiến các bạn nhỏ cảm thấy vô cùng thích thú: Áp má nào!; A a – há miệng nào!; Chơi cùng xích đu!; Cù léc cù léc!; Giống nhau quá, giống nhau quá!; Đợi chút đợi chút!; Thật là khoan khoái!; Xình xịch, xình xịch!; Xoa nào xoa nào!.Mời bạn đón đọc.",full/8f592edb92e7e26e5f90d551823b846c507e640f.jpg,28.0,43.000,Truyện tranh,Chơi Cùng Momo - Chú Bé Quả Đào: Xoa Nào Xoa Nào!
Nguyên Khải,Sách Thường Thức – Đời Sống,09/09/2019,"""Tại sao hai vợ chồng sinh ra em bé được?"" ""Con sinh ra từ đâu?"" Hẳn người cha, người mẹ nào cũng đã từng rất lúng túng vì những câu hỏi này từ con trẻ. Khi đó, đa phần các bậc phụ huynh sẽ lựa chọn né tránh hoặc vòng vo với con về những vấn đề giới tính. Có người sợ ""vẽ đường cho hươu chạy"", thậm chí có người quan niệm nói với con về các bộ phận nhạy cảm trên cơ thể hay vấn đề xâm hại tình dục là chuyện vớ vẩn, bậy bạ. Tuy nhiên, ngày nay, những câu chuyện lạm dụng tình dục trẻ em ngày càng nhiều và đáng báo động, cha mẹ Việt Nam cần nhìn nhận giáo dục giới tính là một vấn đề cần thiết với trẻ nhỏ. Bởi những kiến thức trực diện, đầy đủ là nền tảng để con trẻ biết cách tự bảo vệ mình?.""Những bí mật con muốn biết"" là tài liệu khoa học trực quan về giáo dục giới tính. Bộ sách gồm ba cuốn - tương ứng với ba giai đoạn khác nhau của trẻ - giải đáp những thắc mắc về giới tính một cách trực diện, khách quan, dựa trên cơ sở khoa học. Bên cạnh đó, những hình ảnh minh hoạ sinh động, rõ ràng sẽ giúp trẻ tiếp thu nội dung dễ dàng.Tập 1 (dành cho trẻ 4 - 6 tuổi) đề cập về cấu tạo cơ thể người, cách một em bé được sinh ra với minh họa và nội dung dễ hiểu. Tập 2 của bộ sách, dành cho trẻ từ 7 - 9 tuổi, trải dài đầy đủ các chủ đề trên nhưng chi tiết và chuyên sâu hơn. Trong tập sách này, trẻ được tiếp cận với những cảnh báo về lạm dụng tình dục. Bé sẽ hiểu rõ lý do tại sao không được đi theo người lạ và phải hành xử ra nếu có ai đó muốn động chạm hay vuốt ve mà không được sự đồng ý của mình. Những kiến thức giáo dục giới tính cho tuổi dậy thì, như kinh nguyệt, quan hệ tình dục và tình dục an toàn sẽ được cung cấp đầy đủ trong tập 3, dành cho trẻ từ 10 - 13 tuổi. Tập 3 cũng đề cập sâu hơn đến sự hình thành của một thai nhi, quá trình sinh con với nhiều từ ngữ chuyên môn. Ngoài ra, trong tập này, trẻ có câu trả lời rõ ràng cho ""Lạm dụng tình dục là gì?"" và ""Làm thế nào để tự vệ?"". Chủ đề đồng tính luyến ái cũng lần đầu tiên được nhắc đến. Với bộ cẩm nang giáo dục giới tính này, trong khi đọc, trẻ em cần có sự hướng dẫn của phụ huynh. Với từng tập sách, bên cạnh độ tuổi khuyến nghị, cha mẹ có thể linh động cân nhắc đâu là thời điểm phù hợp để nói với con về những chủ đề trên. Khi công nghệ thông tin đã quá phổ biến, nếu cha mẹ cứ mãi né tránh những câu hỏi nhạy cảm của con cái thì chính họ cũng đang đẩy con lại gần những nguồn thông tin không chính thống và thiếu kiểm soát. Hãy nói chuyện giới tính với con thật sớm, thật cởi mở và thành thật. Hy vọng bộ sách ""Những bí mật con muốn biết"" sẽ là nền tảng để phụ huynh giúp trẻ hiểu và yêu thương cơ thể, biết bảo vệ bản thân mình. Mời bạn đón đọc.",full/1dddf006ad783760b858ecd2b533ab2291a81ceb.jpg,60.0,58.000,"Gia đình, nuôi dạy con",Những Bí Mật Con Muốn Biết (Cho Trẻ 10 - 13 Tuổi)
Nguyên Khải,Sách Thường Thức – Đời Sống,09/09/2019,"Thông tin tác giả    Isabelle Fougère     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Tại sao hai vợ chồng sinh ra em bé được?"" ""Con sinh ra từ đâu?"" Hẳn người cha, người mẹ nào cũng đã từng rất lúng túng vì những câu hỏi này từ con trẻ. Khi đó, đa phần các bậc phụ huynh sẽ lựa chọn né tránh hoặc vòng vo với con về những vấn đề giới tính. Có người sợ ""vẽ đường cho hươu chạy"", thậm chí có người quan niệm nói với con về các bộ phận nhạy cảm trên cơ thể hay vấn đề xâm hại tình dục là chuyện vớ vẩn, bậy bạ. Tuy nhiên, ngày nay, những câu chuyện lạm dụng tình dục trẻ em ngày càng nhiều và đáng báo động, cha mẹ Việt Nam cần nhìn nhận giáo dục giới tính là một vấn đề cần thiết với trẻ nhỏ. Bởi những kiến thức trực diện, đầy đủ là nền tảng để con trẻ biết cách tự bảo vệ mình?.""Những bí mật con muốn biết"" là tài liệu khoa học trực quan về giáo dục giới tính. Bộ sách gồm ba cuốn - tương ứng với ba giai đoạn khác nhau của trẻ - giải đáp những thắc mắc về giới tính một cách trực diện, khách quan, dựa trên cơ sở khoa học. Bên cạnh đó, những hình ảnh minh hoạ sinh động, rõ ràng sẽ giúp trẻ tiếp thu nội dung dễ dàng.Tập 1 (dành cho trẻ 4 - 6 tuổi) đề cập về cấu tạo cơ thể người, cách một em bé được sinh ra với minh họa và nội dung dễ hiểu. Tập 2 của bộ sách, dành cho trẻ từ 7 - 9 tuổi, trải dài đầy đủ các chủ đề trên nhưng chi tiết và chuyên sâu hơn. Trong tập sách này, trẻ được tiếp cận với những cảnh báo về lạm dụng tình dục. Bé sẽ hiểu rõ lý do tại sao không được đi theo người lạ và phải hành xử ra nếu có ai đó muốn động chạm hay vuốt ve mà không được sự đồng ý của mình. Những kiến thức giáo dục giới tính cho tuổi dậy thì, như kinh nguyệt, quan hệ tình dục và tình dục an toàn sẽ được cung cấp đầy đủ trong tập 3, dành cho trẻ từ 10 - 13 tuổi. Tập 3 cũng đề cập sâu hơn đến sự hình thành của một thai nhi, quá trình sinh con với nhiều từ ngữ chuyên môn. Ngoài ra, trong tập này, trẻ có câu trả lời rõ ràng cho ""Lạm dụng tình dục là gì?"" và ""Làm thế nào để tự vệ?"". Chủ đề đồng tính luyến ái cũng lần đầu tiên được nhắc đến. Với bộ cẩm nang giáo dục giới tính này, trong khi đọc, trẻ em cần có sự hướng dẫn của phụ huynh. Với từng tập sách, bên cạnh độ tuổi khuyến nghị, cha mẹ có thể linh động cân nhắc đâu là thời điểm phù hợp để nói với con về những chủ đề trên. Khi công nghệ thông tin đã quá phổ biến, nếu cha mẹ cứ mãi né tránh những câu hỏi nhạy cảm của con cái thì chính họ cũng đang đẩy con lại gần những nguồn thông tin không chính thống và thiếu kiểm soát. Hãy nói chuyện giới tính với con thật sớm, thật cởi mở và thành thật. Hy vọng bộ sách ""Những bí mật con muốn biết"" sẽ là nền tảng để phụ huynh giúp trẻ hiểu và yêu thương cơ thể, biết bảo vệ bản thân mình. Mời bạn đón đọc.",full/1e96e487df47f8981f20240632351f98623cd3fd.jpg,28.0,42.000,"Gia đình, nuôi dạy con",Những Bí Mật Con Muốn Biết (Cho Trẻ 4 - 6 Tuổi)
Hà Minh Đức,Sách Phát Triển Bản Thân,01/11/2007,"Thông tin tác giả    Hà Minh Đức 
                                                                                                                                            Hà Minh Đức
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ba Lần Đến Nước Mỹ - Tập Bút Ký:Tập bút ký ""ba lần đến nước Mỹ"" ghi lại những cảm nghĩ và công việc trên hành trình ba lần đến nước Mỹ trong khoảng gần hai mươi năm (1982 - 1999). Nước Mỹ xa xôi là bút ký về chuyến đi vào tháng 6-1982 tham dự hội thảo ""văn học Việt Nam giữa hai thế chiến 1914-1945"" do trường Đại học Harvard tổ chức và mời họp.Gặp gở ở California là bút ký về chuyến đi vào cuối tháng 4-1995 tham dự hội thảo ""Di sản Việt Nam hai mươi năm sau"" do trường Đại học Davis California tổ chức ngày 30-4-1945 đến 2-5-1995.Lần thứ ba trở lại là thiên hồi ký về chuyến đi thăm của Đoàn đại biểu trung tâm khoa học xã hội và Nhân văn Quốc gia sang Mỹ theo lời mời của Trung tâm trao đổi giáo dục với Việt Nam của Mỹ. Đoàn do Giáo sư Viện sĩ Nguyễn Duy Quý dẫn đầu. Đoàn còn có 4 viện trưởng các viện văn học, xã hội học, dân tộc học, viện khoa học xã hội thành phố Hồ Chí Minh.Tập bút ký ""ba lần đến nước Mỹ"" ghi chép lại chân thực những cảm nghĩ và công việc trong các chuyến đi. Tác giả muốn từ góc nhìn của một cá nhân cung cấp cho bạn đọc một vài hình ảnh của nước Mỹ ngày nay.""Vào dịp đầu năm 1982, sau khi ăn Tết xong, vào một buổi sáng tôi đón tiếp anh Hồ Hải Thụy. Vừa đến nhà anh đã nói: có tin mừng cho ông đây. Tôi hơi ngơ ngác và chờ đợi. Anh Hồ Hải Thụy với tôi là chỗ thân tình nhưng ít có dịp gặp nhau. Anh Thụy mở cặp và đem ra một tập hồ sơ phong bì màu vàng của trường Đại học Harvard gửi. Bà Hồ Huệ Tâm thay mặt cho khoa Đông Nam Á chuyển lời mời tôi và giáo sư Phan Cư Đệ tham dự cuộc hội thảo văn học Việt Nam giữa hai cuộc chiến tranh thế giới 1914 - 1945. Đây là một thời kỳ văn học Việt Nam có sự phát triển vượt bậc. Những tác phẩm mở đầu như Tố Tâm của Hoàng Ngọc Phách, rồi phong trào Thơ Mới, Tự lực văn đoàn, các nhà văn hiện thực phê phán nổi tiếng như Ngô Tất Tố, Vũ Trọng Phụng, Nam Cao... Đề tài do chúng tôi lựa chọn và cơ quan tổ lức lưu ý tôi về tác phẩm Nam Cao và anh Phan Cự Đệ về Ngô Tất Tố. Tôi chuyển hồ sơ cho giáo sư Phan Cự Đệ và thời gian còn ba tháng để chuẩn bị..."".Mời bạn đón đọc.",full/4224f4c043f13e140b570330b5915f7711f2afbb.jpg,208.0,30.000,Danh nhân,Ba Lần Đến Nước Mỹ - Tập Bút Ký
HiTru,Sách Kinh Tế,03/10/2019,"Thông tin tác giả    99U     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Jocelyn K. Glei     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bạn đã sẵn sàng để tạo dấu ấn trong vũ trụ?Cuốn sách Tạo lập dấu ấn của bạn là một bộ sưu tập các giai thoại và câu chuyện từ các bộ não đằng sau các công ty khởi nghiệp sáng tạo như Google X, Warby Parker, Facebook và nhiều công ty khác. Cuốn sách mang đến những hiểu biết thực tiễn về việc thành lập doanh nghiệp định hướng theo mục đích, cải tiến sản phẩm, làm hài lòng khách hàng, truyền cảm hứng cho đội ngũ, và cuối cùng là làm nên điều gì đó lớn lao!Mời bạn đón đọc.",full/f07359b96e86888dda73dbbad2c28306d6f245f0.jpg,236.0,99.000,Nhân vật & bài học kinh doanh,Tạo Lập Dấu Ấn Của Bạn
Vũ Anh Tú,Sách Thiếu Nhi,31/10/2019,"Thông tin tác giả    Nhiều tác giả     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tớ là Paul. Hè này, tới ở Rome với bố mẹ mình. Thật thà mà nói, lúc đầu tớ đã nghĩ chuyến đi này chắc tẻ nhạt lắm cho coi. Nhưng cả nhà được đi thăm những hầm mộ dưới lòng đất, được nhìn tận mắt sọ người, các địa điểm hành quyết và những kênh đào cổ. Nghe thật điên rồ, thế mà xong tớ lại thấy những người dân La Mã cổ đại tuyệt thế không biết.Tớ được chị Livia Paletti dẫn đường chỉ lối để đi tìm hiểu tất tần tật về La Mã cổ đại. Đồng hành cùng với hai chị em còn có Juno, con ngỗng giống Ý, hơi ảo tưởng nhưng lại nói tiếng Latin rất tôt. Có cả Quintus, con chuột nhắt sống trong hầm của đấu trường La Mã.Chị Livia đưa tớ đi thăm thú khắp nơi. Tớ tò mò muốn biết người dân thành Rome đã kể lại những câu chuyện nào nhỉ? Hóa ra có các câu chuyện về những hoàng đế đầu tiên, rồi cả những hoàng đế “siêu đặc biệt” nữa. Chưa kể tớ còn được tìm hiểu về thể chế chính trị, nền cộng hòa cũng “siêu đặc biệt” không kém của thời La Mã cổ đại. Còn, còn nữa, đó còn là các cuộc chiến nổi bật của người dân La Mã cho tới đế quốc La Mã bành trướng ra sao. Ngoài ra, tớ cũng biết thêm về cây cầu dẫn nước, máng thoát nước, nhà vệ sinh, hệ thống thoát nước… những công trình phục vụ đời sống cho người dân, rồi cả những cuộc chiến khốc liệt tại đấu trường ở La Mã nữa. Các vị thần cũng nhiều vô kể và không kém phần “siêu đặc biệt”. Thú vị nhất là người La Mã vẫn đang sống cùng bọn mình. Họ để lại rất rất nhiều di sản, những công trình đồ sộ, chữ viết, tên tháng…Tớ không có ngồi yên một chỗ đâu nhé! Tớ luôn hỏi chị Livia những câu hỏi tớ không biết và còn đang thắc mắc. Tớ còn có cơ hội quay về thời La Mã cổ đại, trò chuyện cùng các vị tướng và hoàng đế. Quintus cũng nói leo suốt, nên tớ biết nhiều điều phết. Tớ còn làm cả bài trắc nghiệm để biết mình hiểu rõ về các đấu sĩ La Mã hay không. Một số hoạt động giải trí ở thời này cũng rất gợi tò mò. Còn vô số các địa điểm thăm quan mà tớ có thể ghé thăm khi có cơ hội.Tớ thực lòng cảm nhận được “Thành Rome, tớ đến nè!” siêu thú vị!Mời bạn đón đọc.",full/9d0415e59a97938993dc99bbf45ce778362de926.jpg,68.0,55.000,Truyện tranh,"Thành Rome, Tớ Đến Nè!"
